Model,N_Features,Train_R2,Val_R2,Test_R2,Train_RMSE,Val_RMSE,Test_RMSE,CV_Score
LinearRegression,7,0.3803445643496215,0.3021250670519824,0.38481961081037896,0.5950481395078198,0.6245273410170478,0.5863594079753435,0.34301551083701926
LinearRegression,6,0.3768138382647984,0.2955985789290301,0.39010584200118636,0.5967409897733307,0.6274408179311667,0.5838346859786934,0.3396961031176406
LinearRegression,5,0.3700942678765148,0.2867947056534671,0.3855406400291289,0.5999495750057008,0.6313496377720664,0.5860156826001354,0.33413302921249693
LinearRegression,4,0.36985999839979566,0.28443070245262514,0.38560513756209236,0.6000611288463885,0.6323951136291219,0.585984925840485,0.3358393095243371
LinearRegression,3,0.3336514948202606,0.2758892164655147,0.3526925131252544,0.6170604104444409,0.6361582504107272,0.601475541082206,0.29843488847273986
LinearRegression,2,0.261105523707458,0.17164228581632524,0.29894224839243844,0.6497827529545295,0.6804114556428909,0.6259498709923181,0.22341578987730976
LinearRegression,1,0.24856420575158522,0.16553584976191604,0.29301818374159627,0.6552739589190085,0.682914758189123,0.628589002182528,0.21461000764476781
Ridge,15,0.38727632775661935,0.31831118590487006,0.3932937473412782,0.5917105320518748,0.6172423843897531,0.5823068403738615,0.32940772358060555
Ridge,9,0.38651296238403177,0.31700062412767804,0.398972396430046,0.5920790103343504,0.6178354305380236,0.5795752959332039,0.3427981169588141
Ridge,14,0.38705432385942007,0.3164524378347432,0.39495282546835275,0.5918177175201057,0.6180833231381034,0.5815101171627964,0.33234872177927616
Ridge,13,0.38699930457493004,0.3150238365435325,0.39606516566033045,0.5918442783214721,0.6187288771590576,0.5809753368446251,0.33523684914069846
Ridge,10,0.38661524563136684,0.31372109797797954,0.39999439516551893,0.5920296512733187,0.6193169699491881,0.579082325867765,0.34162403138311254
Ridge,12,0.38672088087288037,0.31371974564124894,0.3980419019904966,0.5919786703127071,0.6193175801418308,0.580023763706791,0.34072940443786964
Ridge,11,0.38672081329940733,0.3137097242336463,0.3980484041398379,0.5919787029259598,0.6193221019178906,0.5800206310873196,0.3407377922315423
Ridge,7,0.38208063549455307,0.30410634265630854,0.4003661314047613,0.5942139900558577,0.6236401904718367,0.5789029115115732,0.34341119622306504
Ridge,8,0.3840713679740294,0.3040507804974897,0.4003383013113787,0.5932560370922322,0.6236650865916072,0.5789163453217703,0.3419796328093177
Ridge,5,0.3786606438994504,0.2964819095125766,0.38458708993115087,0.5958561158854275,0.6270472841363712,0.5864702111858073,0.3446813860260475
Ridge,6,0.3785918598450906,0.2963865913197794,0.3845643243076218,0.595889096465867,0.627089761359326,0.5864810585667671,0.3444395444714492
Ridge,4,0.37461879058247305,0.28966788122664544,0.3902868982584403,0.5977910159061383,0.6300766459829114,0.583748019490706,0.34073667681315367
Ridge,3,0.36940972078354084,0.2840865931618918,0.38407325319403973,0.6002754826751177,0.6325471512299026,0.5867149956697617,0.3379749556141826
Ridge,2,0.32894982657516214,0.22139738461668068,0.3498913641121303,0.6192335328002616,0.6596606608757108,0.6027755444549363,0.2995481823081537
Ridge,1,0.2467971247044689,0.16463996706711048,0.2915478816307835,0.6560439796295846,0.6832812493027496,0.629242297425953,0.21300317641351246
